order_id,order_date,category,product_name,region,sales_channel,customer_segment,payment_method,unit_price,quantity,discount_pct,revenue,units_returned,customer_rating,delivery_days
1,2025-02-22,Clothing,T-Shirt,Asia Pacific,In-Store,Returning,PayPal,1016.67,18,0,18300.06,0,1.1,2
2,2025-08-03,Sports,Dumbbells,Middle East,Online,Returning,Buy Now Pay Later,334.56,19,10,5720.98,0,1.0,13
3,2025-04-21,Home & Garden,Curtains,Latin America,Mobile App,Premium,PayPal,1436.03,11,0,15796.33,1,2.4,6
4,2025-10-10,Books,Fiction Novel,Latin America,Online,Churned,Credit Card,443.3,20,15,7536.1,0,3.8,1
5,2025-05-23,Sports,Running Shoes,North America,In-Store,New,Crypto,682.85,12,0,8194.2,0,1.8,5
6,2025-07-14,Clothing,Sneakers,Europe,In-Store,Returning,Crypto,408.57,18,5,6986.55,0,4.4,13
7,2025-02-03,Electronics,Smartphone,North America,Mobile App,Churned,Bank Transfer,320.42,19,15,5174.78,0,3.0,11
8,2025-10-03,Automotive,Dash Cam,Asia Pacific,In-Store,Returning,Buy Now Pay Later,397.8,19,20,6046.56,0,2.6,4
9,2025-03-20,Home & Garden,Mattress,Latin America,Online,New,Credit Card,943.03,14,0,13202.42,0,3.4,8
10,2025-02-27,Books,Biography,North America,Online,Premium,Bank Transfer,443.78,6,25,1997.01,5,4.5,5
11,2025-07-11,Home & Garden,Mattress,North America,Mobile App,Returning,PayPal,1144.95,18,0,20609.1,0,3.0,2
12,2025-02-10,Beauty,Perfume,Europe,Online,Returning,Buy Now Pay Later,133.05,16,0,2128.8,0,3.1,3
13,2025-11-07,Home & Garden,Curtains,Latin America,In-Store,Premium,Buy Now Pay Later,637.59,7,5,4239.97,0,2.6,11
14,2025-04-26,Beauty,Serum,Middle East,Marketplace,New,PayPal,100.72,1,5,95.68,0,1.0,12
15,2025-09-21,Electronics,Smartphone,North America,Online,Premium,Credit Card,360.82,16,5,5484.46,0,3.9,10
16,2025-02-19,Automotive,Dash Cam,Latin America,Marketplace,Returning,Credit Card,990.18,12,20,9505.73,0,4.5,1
17,2025-04-09,Clothing,T-Shirt,Latin America,Mobile App,New,PayPal,289.36,15,0,4340.4,0,2.1,4
18,2025-01-08,Clothing,Jacket,Middle East,Online,New,Buy Now Pay Later,1453.65,8,0,11629.2,0,2.9,14
19,2025-05-16,Toys,LEGO Set,Europe,Marketplace,New,Crypto,1390.14,15,10,18766.89,0,4.8,13
20,2025-10-24,Automotive,Dash Cam,Europe,Mobile App,Returning,Credit Card,1104.93,2,15,1878.38,1,3.0,14
21,2025-11-01,Home & Garden,Sofa,Middle East,Online,Returning,Credit Card,106.6,8,20,682.24,0,4.6,4
22,2025-04-15,Electronics,Smart Watch,North America,Marketplace,Premium,Bank Transfer,1006.24,11,5,10515.21,0,1.5,11
23,2025-11-15,Books,Cookbook,Asia Pacific,Online,New,Crypto,1497.69,4,0,5990.76,0,3.0,3
24,2025-08-13,Beauty,Moisturizer,Europe,Mobile App,Premium,PayPal,1251.45,10,0,12514.5,0,3.2,11
25,2025-03-21,Clothing,Jeans,Asia Pacific,Online,New,Buy Now Pay Later,412.16,20,5,7831.04,0,1.8,11
26,2025-11-21,Books,Biography,Latin America,Mobile App,New,Credit Card,638.25,9,0,5744.25,2,3.5,5
